2016-06-04 15:26:38 startup archives install
2016-06-04 15:26:39 install base-passwd:amd64 <none> 3.5.37
2016-06-04 15:26:39 status half-installed base-passwd:amd64 3.5.37
2016-06-04 15:26:39 status unpacked base-passwd:amd64 3.5.37
2016-06-04 15:26:39 status unpacked base-passwd:amd64 3.5.37
2016-06-04 15:26:39 configure base-passwd:amd64 3.5.37 3.5.37
2016-06-04 15:26:39 status unpacked base-passwd:amd64 3.5.37
2016-06-04 15:26:39 status half-configured base-passwd:amd64 3.5.37
2016-06-04 15:26:39 status installed base-passwd:amd64 3.5.37
2016-06-04 15:26:39 startup archives install
2016-06-04 15:26:39 install base-files:amd64 <none> 8+devuan7
2016-06-04 15:26:39 status half-installed base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 configure base-files:amd64 8+devuan7 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:40 status half-configured base-files:amd64 8+devuan7
2016-06-04 15:26:40 status installed base-files:amd64 8+devuan7
2016-06-04 15:26:40 startup archives install
2016-06-04 15:26:41 upgrade dpkg 1.17.26 1.17.26
2016-06-04 15:26:41 status half-configured dpkg 1.17.26
2016-06-04 15:26:41 status unpacked dpkg 1.17.26
2016-06-04 15:26:41 status half-installed dpkg 1.17.26
2016-06-04 15:26:42 status half-installed dpkg 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 configure dpkg 1.17.26 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 status unpacked dpkg 1.17.26
2016-06-04 15:26:42 status half-configured dpkg 1.17.26
2016-06-04 15:26:42 status installed dpkg 1.17.26
2016-06-04 15:26:42 startup archives install
2016-06-04 15:26:43 install libc6:amd64 <none> 2.19-18+deb8u4
2016-06-04 15:26:43 status half-installed libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:45 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:45 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:45 configure libc6:amd64 2.19-18+deb8u4 2.19-18+deb8u4
2016-06-04 15:26:45 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:45 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:45 status half-configured libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:46 status installed libc6:amd64 2.19-18+deb8u4
2016-06-04 15:26:46 startup archives install
2016-06-04 15:26:46 install perl-base:amd64 <none> 5.20.2-3+deb8u4
2016-06-04 15:26:46 status half-installed perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:26:50 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:26:50 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:26:50 configure perl-base:amd64 5.20.2-3+deb8u4 5.20.2-3+deb8u4
2016-06-04 15:26:50 status unpacked perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:26:50 status half-configured perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:26:50 status installed perl-base:amd64 5.20.2-3+deb8u4
2016-06-04 15:26:50 startup archives install
2016-06-04 15:26:50 install mawk:amd64 <none> 1.3.3-17
2016-06-04 15:26:50 status half-installed mawk:amd64 1.3.3-17
2016-06-04 15:26:51 status unpacked mawk:amd64 1.3.3-17
2016-06-04 15:26:51 status unpacked mawk:amd64 1.3.3-17
2016-06-04 15:26:51 configure mawk:amd64 1.3.3-17 1.3.3-17
2016-06-04 15:26:51 status unpacked mawk:amd64 1.3.3-17
2016-06-04 15:26:51 status half-configured mawk:amd64 1.3.3-17
2016-06-04 15:26:51 status installed mawk:amd64 1.3.3-17
2016-06-04 15:26:51 startup archives install
2016-06-04 15:26:51 install debconf:all <none> 1.5.56
2016-06-04 15:26:51 status half-installed debconf:all 1.5.56
2016-06-04 15:26:53 status unpacked debconf:all 1.5.56
2016-06-04 15:26:53 status unpacked debconf:all 1.5.56
2016-06-04 15:26:53 configure debconf:all 1.5.56 1.5.56
2016-06-04 15:26:53 status unpacked debconf:all 1.5.56
2016-06-04 15:26:53 status unpacked debconf:all 1.5.56
2016-06-04 15:26:53 status unpacked debconf:all 1.5.56
2016-06-04 15:26:53 status unpacked debconf:all 1.5.56
2016-06-04 15:26:53 status half-configured debconf:all 1.5.56
2016-06-04 15:26:53 status installed debconf:all 1.5.56
2016-06-04 15:26:53 startup archives unpack
2016-06-04 15:26:54 upgrade base-files:amd64 8+devuan7 8+devuan7
2016-06-04 15:26:54 status half-configured base-files:amd64 8+devuan7
2016-06-04 15:26:54 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:54 status half-installed base-files:amd64 8+devuan7
2016-06-04 15:26:54 status half-installed base-files:amd64 8+devuan7
2016-06-04 15:26:54 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:54 status unpacked base-files:amd64 8+devuan7
2016-06-04 15:26:54 install init:amd64 <none> 1.24+devuan1.0
2016-06-04 15:26:54 status half-installed init:amd64 1.24+devuan1.0
2016-06-04 15:26:54 status unpacked init:amd64 1.24+devuan1.0
2016-06-04 15:26:55 status unpacked init:amd64 1.24+devuan1.0
2016-06-04 15:26:55 install lsb-base:all <none> 4.1+devuan2
2016-06-04 15:26:55 status half-installed lsb-base:all 4.1+devuan2
2016-06-04 15:26:55 status unpacked lsb-base:all 4.1+devuan2
2016-06-04 15:26:55 status unpacked lsb-base:all 4.1+devuan2
2016-06-04 15:26:55 install initscripts:amd64 <none> 2.88dsf-59.2+devuan2
2016-06-04 15:26:55 status half-installed initscripts:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 status unpacked initscripts:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 status unpacked initscripts:amd64 2.88dsf-59.2+devuan2
2016-06-04 15:26:56 install sysvinit-core:amd64 <none> 2.88dsf-59.2+devuan2
